time,J1_pos,J2_pos,J1_vel,J2_vel
0.0,0.0,0.0,0.0,0.0
0.1,-0.09430454649815266,-0.14726101369092262,-1.5996550016966897,-2.1532237665756435
0.2,-0.2731782419621022,-0.34387784085055595,-1.8026332114800916,-1.6008285686356833
0.3,-0.43130253517138195,-0.45879809871977556,-1.294400039080127,-0.7331291543247813
0.4,-0.5270832446496898,-0.5025047981208834,-0.6281649315781089,-0.20527693243314069
0.5,-0.5621689775208392,-0.5106072254446973,-0.11153703524460652,0.002990602430536961
0.6,-0.5575801717424435,-0.5073543799040677,0.16370809292722363,0.0457930709883368
0.7,-0.5362449754739143,-0.5032162916227196,0.23586644578339047,0.03341039156046257
0.8,-0.5143166501943015,-0.5008302272388188,0.1903742085902685,0.01511972875937977
0.9,-0.49943507697649864,-0.4999345836878978,0.10586604357793167,0.004149557104896803
1.0,-0.4927676708954052,-0.4997751503911428,0.03159319760203995,-0.00012411896865312382
1.1,-0.492110224093558,-0.4998467175682246,-0.013170824690004317,-0.0009730334123887449
1.2,-0.494441049978032,-0.49993376632619335,-0.029397237900028714,-0.0006970604823492755
1.3,-0.4973705334138378,-0.4999832928250065,-0.027059617273454465,-0.0003117012856370147
1.4,-0.499597905222677,-0.5000016361119913,-0.01694966353212867,-8.379632169864897e-5
1.5,-0.500758287285159,-0.5000047627616483,-0.006633947435407786,3.860774715317272e-6
1.6,-0.5010397677359275,-0.5000031940984684,0.00033292382785112126,2.066627785281008e-5
1.7,-0.50082235659057,-0.5000013634562636,0.003431524742445496,1.4541562377622573e-5
1.8,-0.5004476810651216,-0.5000003357397604,0.003713547796277642,6.424883871933721e-6
1.9,-0.5001256296473782,-0.49999996019009474,0.0026038539298393827,1.6902403446010175e-6
2.0,-0.49993533212495883,-0.4999998991303009,0.0012234123747765628,-1.0682064277100989e-7
2.1,-0.49986928626762,-0.49999993337968607,0.00017917258273168077,-4.3807724820938854e-7
2.2,-0.49988242913821795,-0.4999999719006818,-0.0003616903351291952,-3.04595550101861e-7
2.3,-0.4999277427957908,-0.4999999933022397,-0.0004902676542547118,-1.3258296774667834e-7
2.4,-0.499972742131847,-0.5000000009835591,-0.0003858220320299366,-3.391929147971343e-8
2.5,-0.5000025658128983,-0.50000000215538,-0.00020890518744331237,2.9103685373231933e-9
2.6,-0.5000154341026622,-0.5000000014012348,-5.773606802519486e-5,9.407105200672403e-9
2.7,-0.5000162269592281,-0.500000000584041,3.113268155837873e-5,6.4673098986657465e-9
2.8,-0.5000111634871266,-0.5000000001372361,6.163840895724914e-5,2.801896322276359e-9
2.9,-0.5012471836607272,-0.4975796588569907,-0.24261687106352808,0.466676064137558
3.0,-0.6108406332852399,-0.3309343489496571,-1.672209945814708,2.1605244557608225
3.1,-0.7912379894370216,-0.14042504238749814,-1.7726201045365992,1.5072051182507498
3.2,-0.9440356255408162,-0.03415977671348894,-1.2271522358127676,0.6619746589348531
3.3,-1.0331118213709898,0.0044086270430389865,-0.5662113068007564,0.17224813145231715
3.4,-1.0630963372565723,0.010527965291109066,-0.0727034842838231,-0.01244375338670445
3.5,-1.0558478111603893,0.006891369091598126,0.1789268998060307,-0.045810759416815866
3.6,-1.0338655604170763,0.0028888864320337324,0.23512558290744603,-0.03141713339802228
3.7,-1.012433419386014,0.0006850881914881975,0.18252798611817878,-0.013634070149937824
3.8,-0.9984090919707881,-0.000103829391538726,0.097365537772891,-0.0034681041739484803
3.9,-0.9924791107667498,-0.00022260310343876844,0.02562887389570431,0.0003154283981718481
4.0,-0.9922577217528604,-0.00014345870499162203,-0.015975759495774938,0.0009706238364165991
4.1,-0.9947402049154526,-5.94067991524377e-5,-0.029810314770089056,0.0006546614884214026
4.2,-0.9976396982573305,-1.3717138617904596e-5,-0.02623282869008097,0.0002806931131415695
4.3,-0.999763395748986,2.410397972518043e-6,-0.015827703695251275,6.974072020976988e-5
4.4,-1.0008207464739478,4.703032143274968e-6,-0.005750432125349546,-7.714351866233207e-6
4.5,-1.0010339382280957,2.9859232114035008e-6,0.0008115496867677671,-2.0559222022110353e-5
4.6,-1.0007870120905558,1.221053677461773e-6,0.0035639411752309753,-1.3640807037982525e-5
4.7,-1.0004105343698284,2.7401421284340985e-7,0.0036422756929225695,-5.777110887320511e-6
4.8,-1.0001000540955587,-5.5476508109295185e-8,0.0024625339797201325,-1.3998182893444969e-6
4.9,-0.9999236279857582,-9.943727867580616e-8,0.001097031275626664,1.8545604047474413e-7
5.0,-0.9998678224732361,-6.2194782061099e-8,0.00010181569968827723,4.362406759580951e-7
